Weapon,Weapon_ID,Skin,Case,Case_ID,Rarity,Min_Wear,Max_Wear,Wear,Wear_ID,StatTrak,Price
CZ75-Auto,0,Victoria,CS:GO Weapon Case 3,0,4,0.0,0.75,FN,0,1,147.62
CZ75-Auto,0,Victoria,CS:GO Weapon Case 3,0,4,0.0,0.75,MW,1,1,71.96
CZ75-Auto,0,Victoria,CS:GO Weapon Case 3,0,4,0.0,0.75,FT,2,1,35.04
CZ75-Auto,0,Victoria,CS:GO Weapon Case 3,0,4,0.0,0.75,WW,3,1,49.15
CZ75-Auto,0,Victoria,CS:GO Weapon Case 3,0,4,0.0,0.75,BS,4,1,29.69
CZ75-Auto,0,Victoria,CS:GO Weapon Case 3,0,4,0.0,0.75,FN,0,0,13.57
CZ75-Auto,0,Victoria,CS:GO Weapon Case 3,0,4,0.0,0.75,MW,1,0,6.57
CZ75-Auto,0,Victoria,CS:GO Weapon Case 3,0,4,0.0,0.75,FT,2,0,5.24
CZ75-Auto,0,Victoria,CS:GO Weapon Case 3,0,4,0.0,0.75,WW,3,0,10.74
CZ75-Auto,0,Victoria,CS:GO Weapon Case 3,0,4,0.0,0.75,BS,4,0,5.95
CZ75-Auto,0,Xiangliu,Spectrum Case,1,3,0.0,0.56,FN,0,1,29.98
CZ75-Auto,0,Xiangliu,Spectrum Case,1,3,0.0,0.56,MW,1,1,26.79
CZ75-Auto,0,Xiangliu,Spectrum Case,1,3,0.0,0.56,FT,2,1,17.1
CZ75-Auto,0,Xiangliu,Spectrum Case,1,3,0.0,0.56,WW,3,1,17.09
CZ75-Auto,0,Xiangliu,Spectrum Case,1,3,0.0,0.56,BS,4,1,17.6
CZ75-Auto,0,Xiangliu,Spectrum Case,1,3,0.0,0.56,FN,0,0,14.27
CZ75-Auto,0,Xiangliu,Spectrum Case,1,3,0.0,0.56,MW,1,0,10.14
CZ75-Auto,0,Xiangliu,Spectrum Case,1,3,0.0,0.56,FT,2,0,8.32
CZ75-Auto,0,Xiangliu,Spectrum Case,1,3,0.0,0.56,WW,3,0,8.06
CZ75-Auto,0,Xiangliu,Spectrum Case,1,3,0.0,0.56,BS,4,0,7.76
CZ75-Auto,0,Yellow Jacket,Falchion Case,2,3,0.0,1.0,FN,0,1,47.44
CZ75-Auto,0,Yellow Jacket,Falchion Case,2,3,0.0,1.0,MW,1,1,19.56
CZ75-Auto,0,Yellow Jacket,Falchion Case,2,3,0.0,1.0,FT,2,1,9.74
CZ75-Auto,0,Yellow Jacket,Falchion Case,2,3,0.0,1.0,WW,3,1,8.83
CZ75-Auto,0,Yellow Jacket,Falchion Case,2,3,0.0,1.0,BS,4,1,8.14
CZ75-Auto,0,Yellow Jacket,Falchion Case,2,3,0.0,1.0,FN,0,0,14.43
CZ75-Auto,0,Yellow Jacket,Falchion Case,2,3,0.0,1.0,MW,1,0,6.56
CZ75-Auto,0,Yellow Jacket,Falchion Case,2,3,0.0,1.0,FT,2,0,4.37
CZ75-Auto,0,Yellow Jacket,Falchion Case,2,3,0.0,1.0,WW,3,0,4.2
CZ75-Auto,0,Yellow Jacket,Falchion Case,2,3,0.0,1.0,BS,4,0,3.6
CZ75-Auto,0,The Fuschia Is Now,CS:GO Weapon Case 3,3,3,0.0,0.4,FN,0,1,56.93
CZ75-Auto,0,The Fuschia Is Now,CS:GO Weapon Case 3,3,3,0.0,0.4,MW,1,1,30.67
CZ75-Auto,0,The Fuschia Is Now,CS:GO Weapon Case 3,3,3,0.0,0.4,FT,2,1,24.88
CZ75-Auto,0,The Fuschia Is Now,CS:GO Weapon Case 3,3,3,0.0,0.4,WW,3,1,65.51
CZ75-Auto,0,The Fuschia Is Now,CS:GO Weapon Case 3,3,3,0.0,0.4,FN,0,0,64.0
CZ75-Auto,0,The Fuschia Is Now,CS:GO Weapon Case 3,3,3,0.0,0.4,MW,1,0,37.91
CZ75-Auto,0,The Fuschia Is Now,CS:GO Weapon Case 3,3,3,0.0,0.4,FT,2,0,23.05
CZ75-Auto,0,The Fuschia Is Now,CS:GO Weapon Case 3,3,3,0.0,0.4,WW,3,0,56.09
CZ75-Auto,0,Eco,Horizon Case,4,2,0.0,1.0,FN,0,1,8.0
CZ75-Auto,0,Eco,Horizon Case,4,2,0.0,1.0,MW,1,1,3.47
CZ75-Auto,0,Eco,Horizon Case,4,2,0.0,1.0,FT,2,1,1.46
CZ75-Auto,0,Eco,Horizon Case,4,2,0.0,1.0,WW,3,1,1.35
CZ75-Auto,0,Eco,Horizon Case,4,2,0.0,1.0,BS,4,1,1.15
CZ75-Auto,0,Eco,Horizon Case,4,2,0.0,1.0,FN,0,0,3.23
CZ75-Auto,0,Eco,Horizon Case,4,2,0.0,1.0,MW,1,0,1.58
CZ75-Auto,0,Eco,Horizon Case,4,2,0.0,1.0,FT,2,0,0.8
CZ75-Auto,0,Eco,Horizon Case,4,2,0.0,1.0,WW,3,0,0.58
CZ75-Auto,0,Eco,Horizon Case,4,2,0.0,1.0,BS,4,0,0.5
CZ75-Auto,0,Tacticat,Spectrum 2 Case,5,2,0.0,0.7,FN,0,1,4.04
CZ75-Auto,0,Tacticat,Spectrum 2 Case,5,2,0.0,0.7,MW,1,1,1.85
CZ75-Auto,0,Tacticat,Spectrum 2 Case,5,2,0.0,0.7,FT,2,1,0.92
CZ75-Auto,0,Tacticat,Spectrum 2 Case,5,2,0.0,0.7,WW,3,1,0.89
CZ75-Auto,0,Tacticat,Spectrum 2 Case,5,2,0.0,0.7,BS,4,1,0.78
CZ75-Auto,0,Tacticat,Spectrum 2 Case,5,2,0.0,0.7,FN,0,0,1.72
CZ75-Auto,0,Tacticat,Spectrum 2 Case,5,2,0.0,0.7,MW,1,0,0.73
CZ75-Auto,0,Tacticat,Spectrum 2 Case,5,2,0.0,0.7,FT,2,0,0.36
CZ75-Auto,0,Tacticat,Spectrum 2 Case,5,2,0.0,0.7,WW,3,0,0.37
CZ75-Auto,0,Tacticat,Spectrum 2 Case,5,2,0.0,0.7,BS,4,0,0.35
CZ75-Auto,0,Red Astor,Chroma 3 Case,6,2,0.0,1.0,FN,0,1,4.19
CZ75-Auto,0,Red Astor,Chroma 3 Case,6,2,0.0,1.0,MW,1,1,1.76
CZ75-Auto,0,Red Astor,Chroma 3 Case,6,2,0.0,1.0,FT,2,1,0.8
CZ75-Auto,0,Red Astor,Chroma 3 Case,6,2,0.0,1.0,WW,3,1,0.62
CZ75-Auto,0,Red Astor,Chroma 3 Case,6,2,0.0,1.0,BS,4,1,0.6
CZ75-Auto,0,Red Astor,Chroma 3 Case,6,2,0.0,1.0,FN,0,0,1.49
CZ75-Auto,0,Red Astor,Chroma 3 Case,6,2,0.0,1.0,MW,1,0,0.69
CZ75-Auto,0,Red Astor,Chroma 3 Case,6,2,0.0,1.0,FT,2,0,0.34
CZ75-Auto,0,Red Astor,Chroma 3 Case,6,2,0.0,1.0,WW,3,0,0.28
CZ75-Auto,0,Red Astor,Chroma 3 Case,6,2,0.0,1.0,BS,4,0,0.27
CZ75-Auto,0,Pole Position,Chroma 2 Case,7,2,0.0,0.7,FN,0,1,5.72
CZ75-Auto,0,Pole Position,Chroma 2 Case,7,2,0.0,0.7,MW,1,1,1.92
CZ75-Auto,0,Pole Position,Chroma 2 Case,7,2,0.0,0.7,FT,2,1,0.74
CZ75-Auto,0,Pole Position,Chroma 2 Case,7,2,0.0,0.7,WW,3,1,0.84
CZ75-Auto,0,Pole Position,Chroma 2 Case,7,2,0.0,0.7,BS,4,1,0.93
CZ75-Auto,0,Pole Position,Chroma 2 Case,7,2,0.0,0.7,FN,0,0,2.0
CZ75-Auto,0,Pole Position,Chroma 2 Case,7,2,0.0,0.7,MW,1,0,0.77
CZ75-Auto,0,Pole Position,Chroma 2 Case,7,2,0.0,0.7,FT,2,0,0.34
CZ75-Auto,0,Pole Position,Chroma 2 Case,7,2,0.0,0.7,WW,3,0,0.36
CZ75-Auto,0,Pole Position,Chroma 2 Case,7,2,0.0,0.7,BS,4,0,0.29
CZ75-Auto,0,Tigris,Operation Breakout Weapon Case,8,2,0.0,1.0,FN,0,1,5.86
CZ75-Auto,0,Tigris,Operation Breakout Weapon Case,8,2,0.0,1.0,MW,1,1,2.76
CZ75-Auto,0,Tigris,Operation Breakout Weapon Case,8,2,0.0,1.0,FT,2,1,1.93
CZ75-Auto,0,Tigris,Operation Breakout Weapon Case,8,2,0.0,1.0,WW,3,1,1.62
CZ75-Auto,0,Tigris,Operation Breakout Weapon Case,8,2,0.0,1.0,BS,4,1,1.24
